feature,mean_absolute_weight
num__ap_hi > 0.09,0.547024788700323
num__ap_hi <= -0.06,0.3586513271410902
cat__cholesterol_3 > 0.00,0.21562597489575092
cat__cholesterol_3 <= 0.00,0.21317567949626615
num__age <= -0.73,0.12577319176195675
num__age > 0.75,0.11471956211751082
-0.06 < num__ap_hi <= 0.09,0.10363171815958576
cat__cholesterol_2 > 0.00,0.08393499736551588
num__weight > 0.54,0.08336100361341765
cat__cholesterol_2 <= 0.00,0.08274679639218667
num__weight <= -0.64,0.0664597890297285
cat__gluc_3 <= 0.00,0.06530767001920261
cat__gluc_3 > 0.00,0.06275386333063057
0.10 < num__age <= 0.75,0.04190873968374452
cat__alco_1 > 0.00,0.03622566832496184
cat__alco_1 <= 0.00,0.032780801712944146
cat__smoke_1 > 0.00,0.031631425971465364
cat__smoke_1 <= 0.00,0.02809633915923983
-0.73 < num__age <= 0.10,0.026373108502505828
-0.64 < num__weight <= -0.15,0.022011369902709372
cat__gender_2 <= 0.00,0.020786842256945007
cat__gluc_2 <= 0.00,0.016957393177176004
num__height <= -0.65,0.015248540011484419
num__height > 0.69,0.014128919979058527
num__ap_lo <= -0.09,0.013039265676093746
-0.15 < num__weight <= 0.54,0.010360361764878017
-0.09 < num__ap_lo <= -0.04,0.010083169850151842
0.08 < num__height <= 0.69,0.008668911382625356
0.00 < cat__gender_2 <= 1.00,0.00684460790553141
